"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Apple Town Monogatari: Little Computer People","JP","Miscellaneous,General","Apple Town Monogatari is a Miscellaneous game, developed and published by SquareSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SquareSoft","Apr3, 1987 ","http://www.gamefaqs.com/famicomds/578403-apple-town-monogatari"
"Armana no Kiseki","UN","Action,General","Armana no Kiseki is an Action game, developed and published by Konami,which was released in Japan in 1987.","n/a","8.2","n/a","Konami","Aug 11, 1987 ","http://www.gamefaqs.com/famicomds/578467-armana-no-kiseki"
"Aspic","UN","Role-Playing,General","Aspic is a Role-Playing game, developed by XTALSOFT and published by Bothtec,which was released in Japan in 1988.","n/a","7.0","n/a","XTALSOFT","Mar 31, 1988 ","http://www.gamefaqs.com/famicomds/578564-aspic"
"Aspic: Mahebiou no Noro","JP","Role-Playing,General","Aspic is a Role-Playing game, developed by XTALSOFT and published by Bothtec,which was released in Japan in 1988.","n/a","7.0","n/a","XTALSOFT","Mar 31, 1988 ","http://www.gamefaqs.com/famicomds/578564-aspic"
"Aspic","UN","Role-Playing,General","Aspic is a Role-Playing game, developed by XTALSOFT and published by Bothtec,which was released in Japan in 1988.","n/a","7.0","n/a","XTALSOFT","Mar 31, 1988 ","http://www.gamefaqs.com/famicomds/578564-aspic"
"Aspic: Mahebiou no Noro","JP","Role-Playing,General","Aspic is a Role-Playing game, developed by XTALSOFT and published by Bothtec,which was released in Japan in 1988.","n/a","7.0","n/a","XTALSOFT","Mar 31, 1988 ","http://www.gamefaqs.com/famicomds/578564-aspic"
"Backgammon","UN","Miscellaneous,Board Games","Backgammon is a Miscellaneous game, developed and published by Nintendo,which was released in Japan in 1990.","n/a","n/a","n/a","Nintendo","Sep7, 1990 ","http://www.gamefaqs.com/famicomds/922361-backgammon"
"Bakutoushi Patton-Kun","UN","Action,General","Bakutoushi Patton-Kun is an Action game, developed and published by Soft Pro,which was released in Japan in 1988.","n/a","n/a","n/a","Soft Pro","Aug5, 1988 ","http://www.gamefaqs.com/famicomds/578635-bakutoushi-patton-kun"
"Baseball","UN","Sports,Traditional,Baseball,Arcade","The most realistic baseball game outside of a ballpark! It's the bottom of the ninth. You're at the plate. Here comes the pitch. You swing - it's a smash deep into center field. A home run! It's Nintendo BASEBALL. A game so real you'll think you're in the majors. You control the swing of the bat. The speed of the pitch. The hits, the steals, the double plays! Play against a computer opponent or challenge a friend. Nintendo's state-of-the-art graphics and realistic game play will have you really believing you're playing baseball. Just add peanuts, popcorn and crackerjacks... for the time of your life!","n/a","5.7","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/920977-baseball"
"Big Challenge! Dogfight Spirits","UN","Action,Shooter,Scrolling","Big Challenge! Dogfight Spirits is an Action game, published by Jaleco Entertainment,which was released in Japan in 1988.","n/a","n/a","n/a","Jaleco Entertainment","Oct 21, 1988 ","http://www.gamefaqs.com/famicomds/579339-big-challenge-dogfight-spirits"
"Big Challenge! Go Go Bowling","UN","Sports,Alternative,Bowling","Big Challenge! Go Go Bowling is a Sports game, published by Jaleco Entertainment,which was released in Japan in 1989.","n/a","n/a","n/a","Jaleco Entertainment","Jun 23, 1989 ","http://www.gamefaqs.com/famicomds/579449-big-challenge-go-go-bowling"
"Big Challenge! Gun Fighter","UN","Action,Shooter,Scrolling","Big Challenge! Gun Fighter is an Action game, published by Jaleco Entertainment,which was released in Japan in 1989.","n/a","n/a","n/a","Jaleco Entertainment","Mar 28, 1989 ","http://www.gamefaqs.com/famicomds/579423-big-challenge-gun-fighter"
"Big Challenge! Judo Senshuken","UN","Sports,General","Big Challenge! Judo Senshuken is a Sports game, published by Jaleco Entertainment,which was released in Japan in 1988.","n/a","n/a","n/a","Jaleco Entertainment","Aug 10, 1988 ","http://www.gamefaqs.com/famicomds/578638-big-challenge-judo-senshuken"
"Bio-Miracle Bokutte Upa","UN","Action,Platformer,2D","Bio-Miracle Bokutte Upa is an Action game, developed and published by Konami,which was released in Japan in 1988.","6.0","7.6","n/a","Konami","Apr 22, 1988 ","http://www.gamefaqs.com/famicomds/578581-bio-miracle-bokutte-upa"
"Body Conquest","UN","Role-Playing,Action RPG","Body Conquest is a Role-Playing game, developed and published by Hacker International,which was released in Japan in 1987.","n/a","n/a","n/a","Hacker International","1987 ","http://www.gamefaqs.com/famicomds/696909-body-conquest"
"Bomberman","UN","Miscellaneous,Puzzle,Action","Bomberman arrives on the DS with a variety of gameplay modes, touch screen functionality, and voice support. Using only one game card, you and seven of your friends can lay bombs in different arenas rife with power-ups. In single-player mode, you can test your reflexes and strategies through 100 stages of challenging puzzles.","n/a","7.0","n/a","Hudson Soft","Apr2, 1990 ","http://www.gamefaqs.com/famicomds/924249-bomberman"
"Breeder","UN","Strategy,Breeding/Constructing","Breeder is a Strategy game, developed and published by Soft Pro,which was released in Japan in 1986.","n/a","5.5","n/a","Soft Pro","Dec 15, 1986 ","http://www.gamefaqs.com/famicomds/578359-breeder"
"Bubble Bobble","UN","Action,Platformer,2D","Meet Bub and Bob, two of the busiest beasties you ever saw, as they battle their way across 100 levels of controlled chaos in search of their girlfriends (ahhh!). Jump around picking up goodies and secret weapons as you seek to outsmart your enemies, but beware... hang around too long and you'll face Baron von Blubba, from whom there's no escape! Bubble Bobble will blast your brain and bruise your senses!","n/a","8.3","n/a","Taito Corporation","Oct 30, 1987 ","http://www.gamefaqs.com/famicomds/922348-bubble-bobble"
"BurgerTime","UN","Action,General","As the burger chef, you're out to build delicious hamburgers. As you run through the colorful maze assembling the ingredients, nothing can stop you. Except menacing hot dogs and pickles that are out to ruin the meal! Bury them under beef patties, lettuce and buns. Or, knock them out with pepper. Build four burgers and you're on to the next level.","n/a","5.0","n/a","Data East","Sep 23, 1988 ","http://www.gamefaqs.com/famicomds/579332-burgertime"
"Chisoko Tairiku Orudoora","UN","Miscellaneous,General","Chisoko Tairiku Orudoora is a Miscellaneous game, developed and published by SunSoft,which was released in Japan in 1987.","n/a","n/a","n/a","SunSoft","Mar 27, 1987 ","http://www.gamefaqs.com/famicomds/578395-chisoko-tairiku-orudoora"
"Cleopatra no Mahou","UN","Role-Playing,General","Cleopatra no Mahou is a Role-Playing game, developed and published by SquareSoft,which was released in Japan in 1987.","7.0","7.0","n/a","SquareSoft","Jul 24, 1987 ","http://www.gamefaqs.com/famicomds/578451-cleopatra-no-mahou"
"Clocks - Famimaga Disk Vol. 4","UN","Miscellaneous,Puzzle,General","Clocks - Famimaga Disk Vol. 4 is a Miscellaneous game, published by Tokuma Shoten,which was released in Japan in 1991.","n/a","n/a","n/a","Tokuma Shoten","Apr 19, 1991 ","http://www.gamefaqs.com/famicomds/570524-clocks-famimaga-disk-vol-4"
"Clu Clu Land","UN","Action,General","Are you clever enough to unravel the mystery of Clu Clu Land? The evil Sea Urchin has hidden all the gold in Clu Clu Land in an underground mystery maze. It's up to you to find the gold before time runs out! But beware. The Sea Urchin will do everything in his power to stop you. He'll set up traps to trick you, like inviting you into his house where you'll be swallowed alive! Or bounce you against the Rubber Trap and land you flat on your back! But if you, or you and a friend, can control the Sea Urchin by stunning him with electric shockwaves, you just might find out where he's hidden the gold and move on to an exciting bonus round!","n/a","7.8","n/a","Nintendo","Apr 28, 1992 ","http://www.gamefaqs.com/famicomds/922336-clu-clu-land"
"Cocona World","UN","Adventure,General","Cocona World is an Adventure game, developed and published by Sofel,which was released in Japan in 1987.","n/a","3.0","n/a","Sofel","Apr 10, 1987 ","http://www.gamefaqs.com/famicomds/578405-cocona-world"
"Dandy: Zeuon No Fukkatsu","UN","Role-Playing,Action RPG","Dandy: Zeuon No Fukkatsu is a Role-Playing game, developed by Atelier Double and published by Pony Canyon,which was released in Japan in 1988.","n/a","n/a","n/a","Atelier Double","Oct 21, 1988 ","http://www.gamefaqs.com/famicomds/579338-dandy-zeuon-no-fukkatsu"
"Date de Blackjack","UN","Miscellaneous,Parlor,Gambling","Date de Blackjack is a Miscellaneous game, developed and published by Hacker International,which was released in Asia in 1985.","n/a","n/a","n/a","Hacker International","1985 ","http://www.gamefaqs.com/famicomds/614515-date-de-blackjack"
"Dead Zone","UN","Adventure,First-Person,Sci-Fi","Dead Zone is an Adventure game, developed and published by SunSoft,which was released in Japan in 1986.","n/a","7.0","n/a","SunSoft","Nov 20, 1986 ","http://www.gamefaqs.com/famicomds/578332-dead-zone"
"Deep Dungeon","UN","Role-Playing,General","Deep Dungeon is a Role-Playing game, developed by Hummingbird Soft and published by SquareSoft,which was released in Japan in 1986.","5.0","6.0","n/a","Hummingbird Soft","Dec 19, 1986 ","http://www.gamefaqs.com/famicomds/578360-deep-dungeon"
"Deep Dungeon: Madou Senki","JP","Role-Playing,General","Deep Dungeon is a Role-Playing game, developed by Hummingbird Soft and published by SquareSoft,which was released in Japan in 1986.","5.0","6.0","n/a","Hummingbird Soft","Dec 19, 1986 ","http://www.gamefaqs.com/famicomds/578360-deep-dungeon"
"Deep Dungeon","UN","Role-Playing,General","Deep Dungeon is a Role-Playing game, developed by Hummingbird Soft and published by SquareSoft,which was released in Japan in 1986.","5.0","6.0","n/a","Hummingbird Soft","Dec 19, 1986 ","http://www.gamefaqs.com/famicomds/578360-deep-dungeon"
"Deep Dungeon: Madou Senki","JP","Role-Playing,General","Deep Dungeon is a Role-Playing game, developed by Hummingbird Soft and published by SquareSoft,which was released in Japan in 1986.","5.0","6.0","n/a","Hummingbird Soft","Dec 19, 1986 ","http://www.gamefaqs.com/famicomds/578360-deep-dungeon"
"Deep Dungeon: Yuushi no Monshou","UN","Role-Playing,First-Person","Deep Dungeon: Yuushi no Monshou is a Role-Playing game, developed by Hummingbird Soft and published by SquareSoft,which was released in Japan in 1987.","5.0","6.0","n/a","Hummingbird Soft","May 30, 1987 ","http://www.gamefaqs.com/famicomds/578422-deep-dungeon-yuushi-no-monshou"
"Dig Dug","UN","Miscellaneous,Puzzle,General","Create your own maze as you tunnel fearlessly through the earth. Your goal: Reap tasty vegetables worth healthy points. Your enemies: ghosts who want to bury you alive, fierce fire-breathing dragons, and mean balloon-like bullies! Can you dig it? Here's the exciting home version of the celebrated coin-op original!","n/a","7.3","n/a","Namco","Jul 20, 1990 ","http://www.gamefaqs.com/famicomds/922359-dig-dug"
"Dig Dug II","UN","Action,General","DIG DUG has decided to chill out from the pressures of the real world by taking a long overdue vacation on a beautiful Caribbean island. 'At last,' he thinks to himself, 'sun, sand, surf, and no more hassles from those miserable pests Pooka and Fygar!' Lying in a hammock between the graceful palm trees, he drifts off into a blissful dream of beautiful bikini clad native girls catering to his every wish. But just when he thinks he's got it made in the shade, along come his troublesome enemies to turn his peaceful paradise into a tropical nightmare. Help DIG DUG rid the island of these irritating intruders and bring tranquility back to his vacation by the sea!","n/a","9.3","n/a","Namco","Aug 31, 1990 ","http://www.gamefaqs.com/famicomds/922360-dig-dug-ii"
"Dirty Pair: Project Eden","UN","Action,General","Dirty Pair: Project Eden is an Action game, published by Bandai,which was released in Japan in 1987.","n/a","6.5","n/a","Bandai","Mar 28, 1987 ","http://www.gamefaqs.com/famicomds/578396-dirty-pair-project-eden"
"Donkey Kong","UN","Action,Platformer,2D","You are Mario, and that big old gorilla, Donkey Kong, has run off with your girlfriend. It's up to you to struggle up those ladders and balance on those beams to rescue your lady fair. She's held captive at the very top. But Donkey Kong is not ready to give her up so easily. He's tossing barrels and fireballs at you at every turn. It's up to you to outmaneuver that wily ape. Good luck, your lady awaits!","n/a","6.0","n/a","Nintendo","Apr8, 1988 ","http://www.gamefaqs.com/famicomds/919573-donkey-kong"
"Donkey Kong Jr.","UN","Action,Platformer,2D","Mario has gone mad! He's turned the tables on Donkey Kong and locked him in a cage. It's up to you, as Donkey Kong Jr., to rescue your father by stealing Mario's set of keys. But it won't be easy. You'll have to fight off ape-eating Snapjaws, jump onto moving islands and break through a jungle of vines to get to the keys that will free Donkey Kong. Can you handle the action? Because this off-the-wall monkey business will have you going bananas!","n/a","9.0","n/a","Nintendo","Jul 19, 1988 ","http://www.gamefaqs.com/famicomds/919574-donkey-kong-jr"
"Dr. Chaos","UN","Adventure,General","Dr. Chaos is an Adventure game, developed by Marionette and published by Pony Canyon,which was released in Japan in 1987.","n/a","6.5","n/a","Marionette","Jun 19, 1987 ","http://www.gamefaqs.com/famicomds/922346-dr-chaos"
"Dr. Chaos: Jigoku no Tobira","JP","Adventure,General","Dr. Chaos is an Adventure game, developed by Marionette and published by Pony Canyon,which was released in Japan in 1987.","n/a","6.5","n/a","Marionette","Jun 19, 1987 ","http://www.gamefaqs.com/famicomds/922346-dr-chaos"
"Dr. Chaos","UN","Adventure,General","Dr. Chaos is an Adventure game, developed by Marionette and published by Pony Canyon,which was released in Japan in 1987.","n/a","6.5","n/a","Marionette","Jun 19, 1987 ","http://www.gamefaqs.com/famicomds/922346-dr-chaos"
"Dr. Chaos: Jigoku no Tobira","JP","Adventure,General","Dr. Chaos is an Adventure game, developed by Marionette and published by Pony Canyon,which was released in Japan in 1987.","n/a","6.5","n/a","Marionette","Jun 19, 1987 ","http://www.gamefaqs.com/famicomds/922346-dr-chaos"
"Dracula II: Noroi no Fuuin","UN","Action,Platformer,2D","Dracula II: Noroi no Fuuin is an Action game, developed and published by Konami,which was released in Japan in 1987.","n/a","7.4","n/a","Konami","Aug 28, 1987 ","http://www.gamefaqs.com/famicomds/578470-dracula-ii-noroi-no-fuuin"
"Dreamiko","UN","Miscellaneous,Rhythm,Music","Dreamiko is a Miscellaneous game, developed and published by Konami,which was released in Japan in 1987.","n/a","n/a","n/a","Konami","Dec4, 1987 ","http://www.gamefaqs.com/famicomds/578512-dreamiko"
"Druid: Kyoufu no Tobira","UN","Role-Playing,Action RPG","Druid: Kyoufu no Tobira is a Role-Playing game, developed and published by Jaleco Entertainment,which was released in Japan in 1988.","8.0","7.0","n/a","Jaleco Entertainment","Mar3, 1988 ","http://www.gamefaqs.com/famicomds/578559-druid-kyoufu-no-tobira"
"Eggerland","UN","Miscellaneous,Puzzle,General","Eggerland is a Miscellaneous game, developed and published by HAL Labs,which was released in Japan in 1987.","n/a","7.6","n/a","HAL Labs","Jan 29, 1987 ","http://www.gamefaqs.com/famicomds/578372-eggerland"
"Eggerland: Souzouhe no Tabidachi","UN","Action,General","Eggerland: Souzouhe no Tabidachi is an Action game, developed and published by HAL Labs,which was released in Japan in 1988.","n/a","n/a","n/a","HAL Labs","Aug 20, 1988 ","http://www.gamefaqs.com/famicomds/578641-eggerland-souzouhe-no-tabidachi"
"Electrician","UN","Action,General","Electrician is an Action game, developed and published by Kemco,which was released in Japan in 1986.","n/a","8.0","n/a","Kemco","Dec 26, 1986 ","http://www.gamefaqs.com/famicomds/578365-electrician"
"Esper Dream","UN","Role-Playing,Console-style RPG","Esper Dream is a Role-Playing game, developed and published by Konami,which was released in Japan in 1987.","n/a","7.3","n/a","Konami","Feb 20, 1987 ","http://www.gamefaqs.com/famicomds/922344-esper-dream"
"Exciting Baseball","UN","Sports,Traditional,Baseball,Sim","Exciting Baseball is a Sports game, published by Konami,which was released in Japan in 1987.","n/a","6.5","n/a","Konami","Dec8, 1987 ","http://www.gamefaqs.com/famicomds/578513-exciting-baseball"
"Exciting Basketball","UN","Sports,Traditional,Basketball,Sim","Exciting Basketball is a Sports game, published by Konami,which was released in Japan in 1987.","n/a","7.0","n/a","Konami","Jul 24, 1987 ","http://www.gamefaqs.com/famicomds/578450-exciting-basketball"
"Exciting Billiard","UN","Miscellaneous,Parlor,Billiards","Exciting Billiard is a Miscellaneous game, developed and published by Konami,which was released in Japan in 1987.","n/a","6.0","n/a","Konami","Jun 26, 1987 ","http://www.gamefaqs.com/famicomds/578436-exciting-billiard"
"Exciting Soccer","UN","Sports,Traditional,Soccer,Sim","Exciting Soccer is a Sports game, published by Konami,which was released in Japan in 1988.","n/a","7.0","n/a","Konami","Feb 16, 1988 ","http://www.gamefaqs.com/famicomds/578555-exciting-soccer"
"Fairytale","UN","Strategy,Breeding/Constructing","Fairytale is a Strategy game, published by Soft Pro,which was released in Japan in 1989.","n/a","5.0","n/a","Soft Pro","Apr 28, 1989 ","http://www.gamefaqs.com/famicomds/579433-fairytale"
"Falsion","UN","Action,Shooter,Scrolling","Falsion is an Action game, developed and published by Konami,which was released in Japan in 1987.","n/a","8.0","n/a","Konami","Oct 21, 1987 ","http://www.gamefaqs.com/famicomds/578496-falsion"
"Famicom Disk System","UN","Hardware,Console","Famicom Disk System is a Hardware game, developed and published by Nintendo,which was released in Japan in 1986.","n/a","8.0","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/916578-famicom-disk-system"
"Nintendo Famicom Disk System","JP","Hardware,Console","Famicom Disk System is a Hardware game, developed and published by Nintendo,which was released in Japan in 1986.","n/a","8.0","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/916578-famicom-disk-system"
"SHARP Twin Famicom","JP","Hardware,Console","Famicom Disk System is a Hardware game, developed and published by Nintendo,which was released in Japan in 1986.","n/a","8.0","n/a","Nintendo","Feb 21, 1986 ","http://www.gamefaqs.com/famicomds/916578-famicom-disk-system"
"Famicom Golf: Japan Course","UN","Sports,Traditional,Golf,Sim","Famicom Golf: Japan Course is a Sports game, developed and published by Nintendo,which was released in Japan in 1987.","n/a","8.0","n/a","Nintendo","Feb 21, 1987 ","http://www.gamefaqs.com/famicomds/578378-famicom-golf-japan-course"
"Famicom Golf: US Course","UN","Sports,Traditional,Golf,Sim","Famicom Golf: US Course is a Sports game, published by Nintendo,which was released in Japan in 1987.","n/a","7.0","n/a","Nintendo","Jun 14, 1987 ","http://www.gamefaqs.com/famicomds/578433-famicom-golf-us-course"
"Famicom Grand Prix F1 Race","UN","Driving,Racing,Formula One","Famicom Grand Prix F1 Race is a Driving game, developed and published by Nintendo,which was released in Japan in 1987.","n/a","7.0","n/a","Nintendo","Oct 30, 1987 ","http://www.gamefaqs.com/famicomds/578498-famicom-grand-prix-f1-race"
"Famicom Grand Prix II: 3D Hot Rally","UN","Driving,Racing,Rally / Offroad","Famicom Grand Prix II: 3D Hot Rally is a Driving game, developed and published by Nintendo,which was released in Japan in 1988.","n/a","7.5","n/a","Nintendo","Apr 14, 1988 ","http://www.gamefaqs.com/famicomds/578579-famicom-grand-prix-ii-3d-hot-rally"
"Famicom Mukashi Banashi: Shin Onigashima - Kouhen","UN","Adventure,First-Person,Fantasy","Famicom Mukashi Banashi: Shin Onigashima - Kouhen is an Adventure game, developed by Pax Softonica and published by Nintendo,which was released in Japan in 1987.","n/a","9.0","n/a","Pax Softonica","Sep 30, 1987 ","http://www.gamefaqs.com/famicomds/578483-famicom-mukashi-banashi-shin-onigashima-kouhen"
"Famicom Mukashi Banashi: Shin Onigashima - Zenpen","UN","Adventure,First-Person,Fantasy","Famicom Mukashi Banashi: Shin Onigashima - Zenpen is an Adventure game, developed by Pax Softonica and published by Nintendo,which was released in Japan in 1987.","n/a","10.0","n/a","Pax Softonica","Sep4, 1987 ","http://www.gamefaqs.com/famicomds/578481-famicom-mukashi-banashi-shin-onigashima-zenpen"
"Famicom Mukashi Banashi: Yuuyuuki - Kouhen","UN","Adventure,General","Famicom Mukashi Banashi: Yuuyuuki - Kouhen is an Adventure game, developed by Pax Softonica and published by Nintendo,which was released in Japan in 1989.","n/a","6.5","n/a","Pax Softonica","Nov 14, 1989 ","http://www.gamefaqs.com/famicomds/579503-famicom-mukashi-banashi-yuuyuuki-kouhen"
"Famicom Mukashi Banashi: Yuuyuuki - Zenpen","UN","Adventure,General","Famicom Mukashi Banashi: Yuuyuuki - Zenpen is an Adventure game, developed by Pax Softonica and published by Nintendo,which was released in Japan in 1989.","n/a","7.5","n/a","Pax Softonica","Oct 14, 1989 ","http://www.gamefaqs.com/famicomds/579492-famicom-mukashi-banashi-yuuyuuki-zenpen"
"Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo (Zenpen)","UN","Adventure,First-Person,Modern","Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo (Zenpen) is an Adventure game, published by Nintendo,which was released in Japan in 1989.","n/a","n/a","n/a","Nintendo","May 23, 1989 ","http://www.gamefaqs.com/famicomds/579438-famicom-tantei-club-part-ii-ushiro-ni-tatsu-shoujo"
"Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo","JP","Adventure,First-Person,Modern","Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo (Zenpen) is an Adventure game, published by Nintendo,which was released in Japan in 1989.","n/a","n/a","n/a","Nintendo","May 23, 1989 ","http://www.gamefaqs.com/famicomds/579438-famicom-tantei-club-part-ii-ushiro-ni-tatsu-shoujo"
"Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo (Kouhen)","UN","Adventure,First-Person,Modern","Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo (Kouhen) is an Adventure game, published by Nintendo,which was released in Japan in 1989.","n/a","n/a","n/a","Nintendo","Jun 30, 1989 ","http://www.gamefaqs.com/famicomds/579450-famicom-tantei-club-part-ii-ushiro-ni-tatsu-shoujo"
"Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo","JP","Adventure,First-Person,Modern","Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo (Kouhen) is an Adventure game, published by Nintendo,which was released in Japan in 1989.","n/a","n/a","n/a","Nintendo","Jun 30, 1989 ","http://www.gamefaqs.com/famicomds/579450-famicom-tantei-club-part-ii-ushiro-ni-tatsu-shoujo"
"Famicom Tantei Club: Kieta Koukeisha (Zenpen)","UN","Adventure,First-Person,Modern","Famicom Tantei Club: Kieta Koukeisha (Zenpen) is an Adventure game, published by Nintendo,which was released in Japan in 1988.","n/a","7.5","n/a","Nintendo","Apr 27, 1988 ","http://www.gamefaqs.com/famicomds/578583-famicom-tantei-club-kieta-koukeisha-zenpen"
"Famicom Tantei Club: Kieta Koukeisha","JP","Adventure,First-Person,Modern","Famicom Tantei Club: Kieta Koukeisha (Zenpen) is an Adventure game, published by Nintendo,which was released in Japan in 1988.","n/a","7.5","n/a","Nintendo","Apr 27, 1988 ","http://www.gamefaqs.com/famicomds/578583-famicom-tantei-club-kieta-koukeisha-zenpen"
"Famicom Tantei Club: Kieta Koukeisha (Kouhen)","UN","Adventure,First-Person,Modern","Famicom Tantei Club: Kieta Koukeisha (Kouhen) is an Adventure game, published by Nintendo,which was released in Japan in 1988.","n/a","9.0","n/a","Nintendo","Jun 14, 1988 ","http://www.gamefaqs.com/famicomds/578597-famicom-tantei-club-kieta-koukeisha-kouhen"
"Famicom Tantei Club: Kieta Koukeisha","JP","Adventure,First-Person,Modern","Famicom Tantei Club: Kieta Koukeisha (Kouhen) is an Adventure game, published by Nintendo,which was released in Japan in 1988.","n/a","9.0","n/a","Nintendo","Jun 14, 1988 ","http://www.gamefaqs.com/famicomds/578597-famicom-tantei-club-kieta-koukeisha-kouhen"
"Family Composer","UN","Miscellaneous,Rhythm,Music","Family Composer is a Miscellaneous game, developed by Musical Plan and published by Tokyo Shoseki,which was released in Japan in 1987.","n/a","n/a","n/a","Musical Plan","Oct 30, 1987 ","http://www.gamefaqs.com/famicomds/578499-family-composer"
"Akai Yousai","UN","Action,Shooter,Scrolling","Akai Yousai is an Action game, developed and published by Konami,which was released in Japan in 1988.","n/a","8.5","n/a","Konami","May2, 1988 ","http://www.gamefaqs.com/famicomds/578590-akai-yousai"
"Final Commando: Akai Yousai","JP","Action,Shooter,Scrolling","Akai Yousai is an Action game, developed and published by Konami,which was released in Japan in 1988.","n/a","8.5","n/a","Konami","May2, 1988 ","http://www.gamefaqs.com/famicomds/578590-akai-yousai"
