"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Commando","Action,Shooter,Scrolling","As the crack shot COMMANDO, you have been given the ultimate mission. You alone must battle overwhelming odds to defend the free world from being taken over by advancing rebel forces.To make matters worse, much of the Allies' heavy artillery has already been destroyed. You must carry out your solor crusade through hostile territory armed with only a rifle, hand grenades, and raw courage!The odds for success seem hopelessly slim as enemy fire flies toward you from all directions and hidden rebel forces appear from caves, trenches, and strongholds to bar your progress. But the Allies are depending on your framous ingenuity, accuracy, and speed to help you break through the enemy lines. You must reach the fortress while collecting supplies from defeated outposts along the way.","8.0","n/a","n/a","Sculptured Software","1990 ","http://www.gamefaqs.com/atari7800/585382-commando"
"Crack'ed","Action,General","Save those precious eggs! Hungry bandits, from blue jays to slithering snakes, are after the eggs of the rare South American hornbill. Blast those nasty creatures as they swoop down to snatch the hornbill's eggs from the nests.Graphics and colorful scenes are especially exciting. The tree in the park holds nests of eggs that are being attacked by birds and snakes. You can even catch falling eggs to gain points. Saving enough eggs will permit you to advance to the next level -- in the city sewer. The action is fast, but you have to be faster.There is even a bonue round at the Rooster Ranch that's load of fun! Egg-splat sounds and colorful graphics deliver true arcade excitement!","3.0","6.5","n/a","Atari","1988 ","http://www.gamefaqs.com/atari7800/585383-cracked"
"Crossbow","Action,Shooter,Light Gun","An evil wizard has terrorized the kingdom for centuries. And it's time somebody stopped him. You are the leader of four brave adventurers who must destroy the wizard and restore the kingdom's riches. It's up to you and your trusty crossbow to protect your companions on the treacherous path to the wizard's castle. Set your sights and follow the adventurers through scorching deserts, haunted caverns, and steaming jungles. There are eight dangerous adventurers to challenge you.You will be met by scorpions and falling stalactites and encounter fireballs and man-eating plants on your journey. Once you have improved your skills as a guardian, you can add up to four more adventurers to the team. Your brave friends rely upon you for their survival.Choose your route from the crumbling treasure map. Once you reach the forbidden castle, your skill and courage are truly challenged. Grab your crossbow and let the tale unfold!","n/a","5.5","n/a","Imagineering Inc","1988 ","http://www.gamefaqs.com/atari7800/585384-crossbow"
"Dark Chambers","Action,General","You are the only one brave enough to enter the castle's dark chambers. Once inside the foreboding castle, a dark staircase leads you down to the murky depths of the labyrinths below.Go alone, or find safety in numbers with your faithful companion. Throw daggers at a threatening band of humanoids, living skeletons, ghosts, evil wizards, and grim reapers. Stand back-to-back with your partner to fight them off. Then descend further beneath the earth's surface.Collect magic potions and treasure chests as you encounter them in the tangle of rooms and corridors. Use keys found on the path to open doors. Take food and drink along the way to keep up your strength.Danger lurks everywhere in the underground maze. You must conquer the evil guardians to make yourself master of this subterranean domain!","7.5","6.2","n/a","Sculptured Software","1988 ","http://www.gamefaqs.com/atari7800/585385-dark-chambers"
"Desert Falcon","Action,Shooter,Scrolling","You are the royal Desert Falcon questing for precious gems and Egyptian heiroglyphs hidden in the endless desert. Invincibility, warp speed, and quick shots are only some of the many magical powers you'll gain on your search. Use them to capture a trove of treasures. But watch out for the evil ones! Mythical flying beasts, blazing firepots, and howling sphinxes guard the jewels you seek.","7.0","5.5","","","","http://www.gamefaqs.com/atari7800/585386-desert-falcon"
"Dig Dug","Miscellaneous,Puzzle,General","Make your way through layers of squishy earth. Gobble up delicious fruits and vegetables--worth healthy points--as you tunnel through.And watch out for the firebreathing Fygars™ and mishievous Pookas™. They're out to bury you alive!","8.0","7.8","n/a","Atari","1987 ","http://www.gamefaqs.com/atari7800/585388-dig-dug"
"Donkey Kong","Action,Platformer,2D","You are Mario, and that big old gorilla, Donkey Kong, has run off with your girlfriend. It's up to you to struggle up those ladders and balance on those beams to rescue your lady fair. She's held captive at the very top. But Donkey Kong is not ready to give her up so easily. He's tossing barrels and fireballs at you at every turn. It's up to you to outmaneuver that wily ape. Good luck, your lady awaits!","7.0","7.5","n/a","Atari","1988 ","http://www.gamefaqs.com/atari7800/585389-donkey-kong"
"Donkey Kong Junior","Action,Platformer,2D","Remember in Donkey Kong how Mario fought Papa Donkey Kong? Well, Mario won. Now he has Papa locked up like an animal in a cage. Only you, Donkey Kong Junior can save Papa. You have to reach that special key to unlock the cage. But Mario has other ideas.As you nimbly climb trees and gracefully swing across vines towards your goal, Mario sends jaw-snapping creatures after you. You earn extra points by plucking fruit to bonk them. When you hae won your first challenge, another scene appears with even greater attacks. And the fourth level is the most difficult of all.","9.0","6.5","n/a","Atari","1988 ","http://www.gamefaqs.com/atari7800/585390-donkey-kong-junior"
"Double Dragon","Action,Beat-'Em-Up","The Black Warriors have kidnapped your best girl. That was their first mistake. Challenging you and your twin brother in martial arts combat will be their second. But these thugs don't play by the rules. Knives, whips, bats, boulders, and dynamite are standard issue with these masters of pain. And their Uzi-toting boss doesn't believe in happy endings!","6.5","3.0","n/a","Imagineering Inc","1989 ","http://www.gamefaqs.com/atari7800/585391-double-dragon"
"The Eidilon","Action,General","The Eidilon is an Action game,scheduled to be released in 2099.","","","","","","http://www.gamefaqs.com/atari7800/585392-the-eidilon"
"Electro Cop","Action,General","Electro Cop is an Action game, published by Atari,which was cancelled before it was released.","","","","","","http://www.gamefaqs.com/atari7800/585393-electro-cop"
"F-18 Hornet","Simulation,Flight,Modern Jet","Attention all Naval Aviators! Report to your squadron leaders and prepare for deployment. Your tour of duty will take you around the world on some of the most challenging and dangerous missions of your career.F-18 HORNET is a carrier based adventure. Fast, solid 3-D graphics and responsive instrumentation make for an incredible sensation of flight.Fly missions through a variety of terrain executing aerial combat, emergency supply drops, strafing and bombing runs while battling hostile jets, helicopters and tanks.F-18 HORNET features all of the action of carrier based jets including thrilling aircraft carrier take-offs and landings in smooth 3-D animation.","n/a","4.0","n/a","Imagineering Inc","1988 ","http://www.gamefaqs.com/atari7800/585394-f-18-hornet"
"Fatal Run","Driving,Demolition Derby","The year is 2089. A collision with a comet has left the earth reeling from radiation poisoning. There's little hope for humanity's survival. It's up to you to rescure the few remaining people.You must leave the protective fortress Albagon and deliver the newly developed radiation vaccine to the survivors. Your journey will not be an easy one. Nefarious henchman are waiting to knock you off and steal the vaccine to ensure that they will survive to rule the planet. Replenish your weapons, armor, and fuel in the cities--if there are any survivors to sell you supplies.You must then find the rocket poised to launch a satellite that can nullify the effects of this cosmic accident that turned the world upside down. If you're sharp enough to learn the secret code words and live long enough to use them, you can laucnh the rocket and save the world!","n/a","7.5","n/a","Sculptured Software","1991 ","http://www.gamefaqs.com/atari7800/585395-fatal-run"
"Fight Night","Sports,Traditional,Boxing","Fight Night is total action. From the opening bell to the final knockdown, you're in the ring calling on your skills and instincts to survive.The main event takes brains as well as brawn. You are about to face five of the most fealess, brutal fighters ever to step into the ring, it's five separate battles that are total war. If you can't think on your feet, don't even pick up your joystick. The action is relentless. Choose your boxer from twelve different fighters. Then it's time to train, spar, and finally put him to the test. It's a fight to the finish between your perfect fighter and the computer. Or anyone else!","3.0","5.0","n/a","Imagineering Inc","1988 ","http://www.gamefaqs.com/atari7800/585396-fight-night"
"Food Fight","Action,General","Food Fight is an Action game, published by Atari,which was released in 1986.","7.0","7.9","n/a","Atari","1986 ","http://www.gamefaqs.com/atari7800/585397-food-fight"
"Galaga","Action,Shooter,Static","They're colorful. They're exquisite. They're beautiful. And they're out to get you.Blast dive-bombing warriors in this timeless arcade classic. Or get blasted!","6.8","7.7","n/a","Atari","1987 ","http://www.gamefaqs.com/atari7800/585398-galaga"
"Hat Trick","Sports,Traditional,Ice Hockey,Sim","The crack of blades. The crash of helmets and the duel of sticks. It's just you and your opponent in a ferocious two-minute battle across the rink.The action begins at the sound of the bell. You shoot to center ice: take the puck across the blue line, and then weave and rush to outrace your challenger to the goal. He grabs the elusive puck and then it's up to you to hook it back. Sticks fly, he takes a shot off the boards.The puck is yours again! Time is running out! You attempt the most powerful score in the game. Swing your stick back and -- slapshot! The goalie slips and looks in astonishment as the puck zips past him. It's your third goal! You've scored a Hat Trick!","4.5","5.0","n/a","ibidinc Games","1987 ","http://www.gamefaqs.com/atari7800/585399-hat-trick"
"Ikari Warriors","Action,Shooter,Scrolling","It's Ikari! Just like you've played at the arcade. As a member of an elite combat squad, you and your buddy are on a mission behind enemy lines. You've got to wade through rivers, hide behind rubble and shoot to destroy. Will Machine guns, grenades and attack tanks be enough to totally destroy the enemy? Lock and load, make every shot count, your ultimate battle awaits. You are the Ikari Warrior.Ikari Warriors features super sharp graphics, hi depth game play and enhanced sound effects. It's all part of the power Atari brings you.","n/a","6.7","n/a","Imagineering Inc","1990 ","http://www.gamefaqs.com/atari7800/585400-ikari-warriors"
"Impossible Mission","Action,General","Impossible. It's been a long time since the Agency stamped a mission that way. (Back then, agents had numbers like 006 and 007.) But the Agency had never faced a foe like the fiendishly clever Elvin. Until now.Your mission, Agent 4125 (we've lost an agent or two since 007), is to fall Elvin's horrible plots. From his underground laboratory, the nefarious scientist is holding the world's population hostage under the threat of nuclear annihilation. You must penetrate the rooms and tunnels of his stronghold, avoid his human-seeking robots, and search for the pieces of his security code.Somersault over the robots or use a precious snooze code to deactivate them long enough to search each room. As you find code pieces, the Agency's computer will help you unscramble the passwords, or you can try to solve them yourself. You've got to reach Elvin's control center, but you'd better watch you step... They didn't stamp this impossible for nothing!","n/a","1.0","n/a","Computer Magic","1986 ","http://www.gamefaqs.com/atari7800/585401-impossible-mission"
"Jinks","Action,General","You are about to embark on one of the most dangerous missions of your career. As a renowned Star Fleet pilot, you have been selected to command an exploration party in a journey across the galaxy to investigate the mysterious planet JINKS. An enigma for centuries, JINKS is a lush, resource-rich world, and could be the key to the desperate need for human expansion in space. It is apparently capable of supporting life, yet it is curiously uninhabited--or is it?A routine research mission goes haywire when scouting your probe across the planet's surface leads you and your crew into a deadly game of cat and mouse. Can you escape from these fiendishly clever traps before your probe and its occupants are miniaturized or annihilated?","1.0","10.0","n/a","Atari","1989 ","http://www.gamefaqs.com/atari7800/585402-jinks"
"Joust","Action,Platformer,2D","Saddle up your ostrich. Gather your wits. And hold on tight. Many well-meaning knights have been knocked off their ostriches. So watch out for the Buzzard Riders. They think you're bait!","10.0","6.7","n/a","Atari","1986 ","http://www.gamefaqs.com/atari7800/585403-joust"
"Karateka","Action,General","Karateka is an Action game, developed by ibidinc Games and published by Atari,which was released in 1988.","2.8","2.5","n/a","ibidinc Games","1988 ","http://www.gamefaqs.com/atari7800/585404-karateka"
"KLAX","Miscellaneous,Puzzle,Matching","For one or two players, KLAX makes you move fast - and think faster! Catch colored tiles coming down a conveyor belt. Score big points by arranging them in same-colored stacks of threes - vertically, horizontally or diagonally. A tic-tac-tile game if you will. Sounds easy? It is... until the tiles come tumbling at you so fast, you'll go nuts trying to catch them all - while figuring out where best to stack them before you run out of room! No matter how tough it gets, the hardest part is pulling yourself away from this fun, fast, and totally addictive game!","n/a","n/a","n/a","Blue Sky Software","2002 ","http://www.gamefaqs.com/atari7800/585405-klax"
"Kung Fu Master","Action,General","You are the Kung-Fu Master. The only one worthy to meet and overcome the challenges that await within the deadly wizard's temple!But before you come eye to eye with the evil one, you must use all your martial arts skills and quick wit to conquer an army of demons, dragons, henchmen, knife-throwers and fighting acrobats.Each floor holds different dangers. Defeat all the enemies to reach the top level. There you'll have to battle the mighty wizard to rescure the princess. But work fast! Your princess is hopelessly fearing for her life and yours.","n/a","n/a","n/a","Imagineering Inc","1989 ","http://www.gamefaqs.com/atari7800/585406-kung-fu-master"
"Lode Runner","Miscellaneous,Puzzle,Action","You're a highly trained Galactic Commando, deep in enemy territory. Your mission: to recover a fortune in gold, stolen from the Bungeling people by their power-hungry leaders. You'll be running, jumping, and climbing heroically, solving perplexing puzzles. With your laser pistol, you'll drill passageways through stone floors and barriers. To get through this mission alive, you'll need more than fleet feet and good looks. You'll need your quick wits and brains. And more than just a little luck.","","","","","","http://www.gamefaqs.com/atari7800/585407-lode-runner"
"Mario Bros.","Action,Platformer,2D","Mario and Luigi are doing some underground plumbing when all sorts of weird creatures come flying out of the pipes. Turtles, crabs - even fighterflies - attack the helpless Mario Bros. It's up to you to kick, punch, and knock out these sewer pests before time runs out! But beware. Just when you think you got rid of them, they come back for more! Play against the computer, or with a friend - either way, this is one underground classic you'll want to play time and time again!","7.0","7.6","n/a","Atari","1987 ","http://www.gamefaqs.com/atari7800/585408-mario-bros"
"Mat Mania Challenge","Action,Fighting,Wrestling","Wouldn't you know it, you drew Bruno the Sledge, five time champion and all-around bad guy, as your first opponent in your quest for that elusive Atari Wrestling Federation championship belt. Ever since he lost his title to Eric the Flaxen Saxon, Bruno's been terrorizing the AWF circuit.Bruno the Sledge glares at you with his one remaining eye. When the bell rings, he charges like a man insane. Just before the impact of his 386-pound body, you step aside and raise your elbow.Perfect elbow smash! Bruno falls to the mat. You get him in a head lock, but his shaved head slips free. Then you see it. The famous Bruno the Sledge &quot;Eye of Terror,&quot; the look of death. You're in trouble now!Mat Mania Challenge provides all the thrills and spills of professional wrestling. Do you have what it takes to survive brain busters and pile drivers? If you have the skills, the championship belt will be yours!","5.5","n/a","n/a","Blue Sky Software","1990 ","http://www.gamefaqs.com/atari7800/585409-mat-mania-challenge"
"Mean 18 Golf","Sports,Traditional,Golf,Sim","No other golf game delivers the realism and playability of MEAN 18 ULTIMATE GOLF. It's the most true-to-life golf simulation game ever! You are at Pebble Beach, but don't be fooled by the beautiful fairways and breathtaking scener. The first hole is a 427 yard par 4, and there are plenty of roughs and water between you and the pin. With lifelike animation patterned after the pros. and numerous strategy options, MEAN 18 ULTIMATE GOLF will sharpen your golf skills and possibly help your real-life game!In the beginning, you can select to shoot from either the pro or regulation tee. You can also decide whether the game will be stroke or match play, or if you will play or the expert mode.","n/a","6.0","n/a","Blue Sky Software","1989 ","http://www.gamefaqs.com/atari7800/585410-mean-18-golf"
"Meltdown","Action,General","Terrorist groups from around the world have sabotaged 20 nuclear power plants. Now the reactors are rapidly filling with sparkx and nobody can do anything to stop the inevitable MeltDowns.Nobody but you, that is. Armed with a powerful new atomic gun, you put on a nuke suit and step into the first reactor. Zzzzzzipp! A sparkx misses your head and hits the wall of the reactor. Poing! It bounces off the wall and heads straight for the control rods at the reactor core. You take aim, knowing full well that a bad shot can further damage the reactor. You pull the trigger. Kerpowie! You got it! You see two more sparkx to your right and six to your left. The place is humming with 'em!Lightning-fast action leaves no time to question your abilities. You must act quickly. Can you do it? The whole industrialized world is depending on you.","n/a","n/a","n/a","Atari","1990 ","http://www.gamefaqs.com/atari7800/585411-meltdown"
"Midnight Mutants","Action,General","7800 Arcade adventure like you've never seen before. This game has it all -- places like rivers, deep dark forests, creepy caverns, labs, creatures like Vampires, Mutant zombies and menacing bats. Your adventure includes exploring large areas and finding awesome weapons. A press of a button brings instant on-screen hints and tips.","n/a","8.0","n/a","Radioactive Software","1990 ","http://www.gamefaqs.com/atari7800/585412-midnight-mutants"
"Motor Psycho","Driving,Racing,Motorcycle,Street","It's the ultimate Superbike challenge. Four of the fastest, most dangerous tracks, a pack of tough opponents and your 200 MPH+ machine.Shift gears, accelerate fast and when you see an obstacle you can Jump clear over trouble. Can you handle the awesome power, do you have what it takes to be the MotorPsycho?","n/a","n/a","n/a","Blue Sky Software","1990 ","http://www.gamefaqs.com/atari7800/585413-motor-psycho"
"Ms. Pac-Man","Action,General","Dots. Energy pills. Fruit. Pretzels. They're all part of Ms. Pac-Man's fast-gobbling diet.She'll even gobble ghosts. But only when they're blue. Otherwise the ghosts will get her. And you!","9.5","7.2","n/a","Atari","1987 ","http://www.gamefaqs.com/atari7800/585414-ms-pac-man"
"Night of the Ninja","Action,General","Night of the Ninja is an Action game, published by Atari,scheduled to be released in 2099.","","","","","","http://www.gamefaqs.com/atari7800/585415-night-of-the-ninja"
"Ninja Golf","Sports,Traditional,Golf,Arcade","It's the ultimate Ninja and sporting challenge, a game of golf and fierce Ninja battle. Swing and kick away at Ninjas, duck whipping stars, pick up treasures and shoot for birdies, it's all part of a day's fun.In Ninja Golf, Par for the course is leaving a trail of fallen enemies. But you're not done yet. The Master Ninja awaits your completion of the ninth hole. Do you have what it takes to ace this course? Can you become the Ninja golf master?","7.5","8.3","n/a","Blue Sky Software","1990 ","http://www.gamefaqs.com/atari7800/585416-ninja-golf"
"One-on-One Basketball","Sports,Traditional,Basketball,Sim","Play basketball with Larry Bird of Julius &quot;Dr. J&quot; Erving! Choose one All-Star as your opponent. You become the other one. Then jump, shoot, and win!This amazing aports game features realistic offensive and defensive movies, fatigue factors, hot streaks, a shot clock, even instant replay and a shattering backboard. Superb graphics and exciting sound effects put you right on the court!","n/a","6.0","n/a","Computer Magic","1987 ","http://www.gamefaqs.com/atari7800/585417-one-on-one-basketball"
"Pete Rose Baseball","Sports,Traditional,Baseball,Sim","From the crack of the bat, make split-second decisions as you choose which fielder makes the play. Throw popular Major League pitches - fast balls, curves, change-ups, screwballs and sinkers. (Spitballs?) Head-to-head action with your friends or against the computer. Complete TV-like coverage, with six camera angles you're always right there where the action is. Play to a packed stadium complete with cheering crowd and organist.","n/a","n/a","n/a","Imagineering Inc","1989 ","http://www.gamefaqs.com/atari7800/585418-pete-rose-baseball"
"Planet Smashers","Action,General","It's an Alien ambush from a far out galaxy. Alien Planet Smashers are coming to obliterate Planet Earth. You must suit up and head off the invasion. Your starship is equipped with capable blasters, but you can earn mega weapons with devastating firepower.The Alien Motherships are the ultimate challenge with colorful full screen graphics and awesome sound effects. Blast off and blast away -- it's only the fate of the Planet at stake.","n/a","7.5","n/a","Atari","1990 ","http://www.gamefaqs.com/atari7800/585419-planet-smashers"
"Pole Position II","Driving,Racing,Arcade","Are you good enough to race with the best? Do you have the nerve and skill to be a professional race car driver? You are about to find out! Behind the wheel of your sleek Formula I race car you will pit yourself against the clock and the world's top racers to win the Pole Position II, the number one starting spot.To enter the Grand Prix itself, you'll have to race at hair-raising speeds to complete the Qualifying Lap in 73 seconds or less. Then choose from four courses, ranging from the relatively innocuous Test course to the perilous Suzuka track.Test your racing skills as you tear around treacherous curves, maneuver your way out of dangerous skids, and veer around hazardous obstacles. Go flat out to beat the track record and you'll be the Grand Prix winner!","9.0","7.0","n/a","Atari","1987 ","http://www.gamefaqs.com/atari7800/585420-pole-position-ii"
"Pyromania","Action,General","Pyromania is an Action game,scheduled to be released in 2099.","","","","","","http://www.gamefaqs.com/atari7800/585421-pyromania"
"Rampage","Action,General","Crunch the Concrete! Snack on a Soldier! Trash a Trolley! Join arcade legends George the Ape, Ralph the Wolf and Lizzie the Lizard on a mission of mass destruction from coast to coast. Go on a RAMPAGE!","n/a","7.0","n/a","Activision","1989 ","http://www.gamefaqs.com/atari7800/585422-rampage"
"RealSports Baseball","Sports,Traditional,Baseball,Sim","It's a hot day in the ballpark, with baseball action so real you can almost smell the hotdogs and hear the crowd cheer! RealSports Baseball has all the thrills of live-action baseball. The home team runs to the outfield, the catcher throws the pitcher a new ball, and a batter from the visiting team steps up to bat. Play ball!You decide -- will the batter bunt, hit a long ball to left or right field, or try for a home run? Runners can also steal a base right under the pitcher's nose. As the ace pitcher, you can throw a fastball, a riser, or a sinker. With four game variations, you can play against a friend, or use your best baseball strategy against the computer.","n/a","n/a","n/a","Atari","1988 ","http://www.gamefaqs.com/atari7800/585423-realsports-baseball"
"Rescue on Fractalus","Action,General","Jet through the cavernous canyons of Fractalus&trade;--in panormic realism. Your fellow pilots are waiting desperately for you. But so are the vicious Jaggi&trade; aliens. You never know what's going to turn up--or where--until it happens...","","","","","","http://www.gamefaqs.com/atari7800/585424-rescue-on-fractalus"
"Robotron: 2084","Action,Shooter,Static","The Robotrons. They're a new breed of robots so advanced they no longer have any use for humans. Except as targets for laser blaster practice.It's the year 2084. And if you can't save the human race from this deadly upheaval, there may not be a year 2085!","9.5","8.0","n/a","Atari","1987 ","http://www.gamefaqs.com/atari7800/585425-robotron-2084"
"Scrapper Story","Action,General","Scrapper Story is an Action game,scheduled to be released in 2099.","","","","","","http://www.gamefaqs.com/atari7800/585426-scrapper-story"
"Scrapyard Dog","Action,Platformer,2D","Our friend Louie loved his dog. But why would some thugs Poochnap this poor puppy? The thugs want the deed to the scrapyard. Will Louie stand for this?It's up to you and Louie to survive over 15 levels of danger and find the ultimate bad dude, Mr. Big.Scrapyard Dog features graphics and sound that push all the limits. It's part of the power that Atari brings you.","2.0","n/a","n/a","Blue Sky Software","1991 ","http://www.gamefaqs.com/atari7800/585427-scrapyard-dog"
"Sentinel","Action,General","You're a scientist, and your invention, a pulsating, glowing orb called the Sentinel, absorbs and stores energy from a variety of sources. Now Earth is threatened by deadly aliens and you must use your creation to save the planet. The Sentinel absorbs energy from every power pod or energy capsule you shoot with your Atari light gun. When an energy source is hit, a beam blasts out from the Sentinel, strikes the target with hissing force, and draws energy back into your Sentinel. It's up to you to protect the Sentinel as it glides over the planets.","n/a","n/a","n/a","Imagineering Inc","1991 ","http://www.gamefaqs.com/atari7800/585428-sentinel"
"Summer Games","Action,General","You're an Olympic athlete competing in six key events at the Summer Games. How well can you score in diving, the 400-meter track relay. 100-meter dash, gymnastics, freestyle relay, and 100-meter freestyle swimming? So realistic, there's even an opening ceremony and awards presentation after each event.Summer Games has incredible realism, superb state-of-the-art graphics and sound effects, including the Olympic theme, and true action-strategy game play. In each event you must plan and execute your game strategy in order to maximize your score. It's not just a matter of how fast you can move the joystick.","7.0","n/a","n/a","Computer Magic","1987 ","http://www.gamefaqs.com/atari7800/585429-summer-games"
"Super Huey UH-IX","Action,General","You have been assigned to the UH-IX, the Defense Department's most advanced experimental helicopter.Learn the intricacies of rotary wing aviation, and become thoroughly familiar with the high performance on-board electronic systems of this powerful ship. Then select your mission.Fly solo with the help of your computer-controlled flight trainer. Pilot into enemy airspace to rescure stranded military personnel. Or fly a dangerous combat mission, defending a secret desert installation against hostile forces.Super Huey is flight simulation at its finest. You're in the cockpit, with your hands on the controls, skillfully commanding the most technologically advanced helicopter ever!","7.0","n/a","n/a","Atari","1988 ","http://www.gamefaqs.com/atari7800/585430-super-huey-uh-ix"
"Super Skateboardin'","Action,General","Your new after school job is a dream come true! Someone's actually going to pay you to skateboard.Here's the deal--Your Dad's company needs someone to turn off all the machines and lights in their factory at the end of the day. Your job is to cruise the maze of hallways, leaping for light switches and tucking through ventilation tubes to get from floor to floor. Jumping on the assembly lines will increase your speed, but be careful or you'll be flattened like a road pizza.The faster you finish, the more power is saved and the more you get paid. So hurry up 'cuz there's lots of floors and power is leaking out fast!","6.0","n/a","n/a","Imagineering Inc","1988 ","http://www.gamefaqs.com/atari7800/585431-super-skateboardin"
"Tank Command","Action,General","The final offensive is on and it is a maximum effort. You are the commander of an elite tank division equipped with the newest XT-87 heavy tanks with orders to lead the spear-head through the enemy's heaviest fortified section and drive straight through to their capital. The enemy is waiting for you with everything they have got! The terrain is covered with anti-tank pillboxes, heavy artillery and tank traps. Watch out! They have squads of suicidal LAW (Light-weight Antitank Weapons) equipped men waiting in ambush and surprise air attacks. You have three spare battalions and get resupplied with a fresh batallion only after you reach bonus points. You must successfully penetrate areas of several fortifications and various levels of difficulty to achieve your primary target. The battle is dependent upon your quick wits, planning, and accurate fire-power by selecting the various energy fire levels. Good luck!","n/a","n/a","n/a","Froggo","1988 ","http://www.gamefaqs.com/atari7800/585432-tank-command"
