"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Channel F","Hardware,Console","Channel F is a Hardware game, developed and published by Fairchild,which was released in 1976.","n/a","7.0","n/a","Fairchild","August 1976 ","http://www.gamefaqs.com/channelf/916426-channel-f"
"Videocart 14: Sonar Search","Strategy,General","This battle on the high seas is sure to score a direct hit with exciting 1 and 2 player games! Sonar's got a fix... Computer's enemy Destroyer dead ahead. Fire one. Fire two. Got him! One down, four to blow up! In the 2-player game, uncover the locations of your opponent's 5-ship fleet, before he finds yours. Pay attention to the sonar's &quot;ping&quot;, then close in for the kill!","n/a","n/a","n/a","Fairchild","1977 ","http://www.gamefaqs.com/channelf/927609-videocart-14-sonar-search"
"Videocart 15: Memory Match","Miscellaneous,Puzzle,General","No time for a case of amnesia with these unforgettable 1 or 2 player games. Memory Match 1: Test your power of concentration. See who can match-up the most pairs of numbers or symbols hidden beneath the squares. But don't forget... when it comes to matchmaking, the computer &quot;rote&quot; the book! Memory Match 2: Like regular Memory Match, with even more strain on the brain. There's nearly twice as much to keep track of, so get ready for a really memorable experience!","n/a","n/a","n/a","Fairchild","1976 ","http://www.gamefaqs.com/channelf/927674-videocart-15-memory-match"
"Videocart 16: Dodge-It","Action,Platformer,2D","It's like the old playground favorite dodge ball, only this time the computer's throwing the balls, not your classmates. 1-Player Dodge It: You're caught in the middle and the computer's giving you the old runaround. Stay on your toes. Up to 9 balls can be coming at you, ricocheting off all sides! 2-Player Dodge It: You and a friend get ready for more rapid-fire action! Duck, sidestep, weave... Whatever you do, don't take it standing still. You'll find this a real moving experience.","n/a","n/a","n/a","Fairchild","1978 ","http://www.gamefaqs.com/channelf/927676-videocart-16-dodge-it"
"Videocart 17: Pinball Challenge","Miscellaneous,Parlor,Pinball","Pinball wizards, get ready for a real titl! You'll flip over these 132 game variations for 1 and 2 players. You've thumped and bumped your way through the green and blue skill lanes. Last ball in play. It's off your flipper. Rebound siderail. Bingo! You made the winners zone! Need more challenge? Try auto ball speed-up. Auto flipper shrink. Or chip away at invisible skill lanes. All options can be combined for a super test of skill!","n/a","n/a","n/a","Fairchild","1978 ","http://www.gamefaqs.com/channelf/927677-videocart-17-pinball-challenge"
"Videocart 18: Hangman","Miscellaneous,Puzzle,General","The classic word game with 64 computerized twists. Challenge a friend or take on the computer. But be careful, the computer will give you plenty of rope to hang up your score, and there's &quot;knot&quot; much room for error! Hangman (computer): Like regular Hangman, but you guess the computer's words. Hangman (own words): You and your opponent make up words for each other to guess. Free Letter: The computer gives you a feebie letter to get started. Where: The computer will take one of your correct letter guesses, let you know it's right, but not where it belongs.","n/a","n/a","n/a","Fairchild","1976 ","http://www.gamefaqs.com/channelf/927678-videocart-18-hangman"
"Videocart 19: Checkers","Miscellaneous,Board Games","The classic game of checkers is played against the computer. Here is your chance to sharpen your skills without your opponent dumping the checkerboard on your head. Check it out: This is the old-time checker game using international rules. Sit back, relax and play your strategy against the computer. Put the cursor over the desired checker you want to move, lock onto it, move it and release it. See what move the computer makes as it tries to win.","n/a","n/a","n/a","Fairchild","1980 ","http://www.gamefaqs.com/channelf/567656-videocart-19-checkers"
"Videocart 1: Tic-Tac-Toe / Shooting Gallery / Doodle / Quadra-Doodle","Miscellaneous,Board Games","TIC-TAC-TOE: &quot;X&quot; out our &quot;O's&quot; and beat the system. Every game is different! SHOOTING GALLERY: Electronic rifle versus dead ducks. Rifle repositions after every shot. DOODLE: Turn your TV screen into a drawing board. Ordinary doodles become electronic masterpieces. Three colors and four line thicknesses to use. QUADRA-DOODLE: The TV doodles for you automatically. Colorful kaleidoscope patterns. Great for parties!","n/a","9.1","n/a","Fairchild","1976 ","http://www.gamefaqs.com/channelf/567657-videocart-1-tic-tac-toe-shooting-gallery-doodle"
"Videocart 20: Video Whizball","Miscellaneous,General","Imagine shooting pool with both players going for the balls at the same time. That's just a hint of the slam-bang action you'll find as you try to knock the whizballs into your opponent's goal. Play solo, compete with a friend or sit back and take notes as you watch computer-controlled players battle it out. Video Whizball is like no game you've ever seen! 72 game variations for one and two players.","n/a","n/a","n/a","Fairchild","1981 ","http://www.gamefaqs.com/channelf/927610-videocart-20-video-whizball"
"Videocart 21: Bowling","Sports,Alternative,Bowling","Enjoy strikes, spares, splits and gutterballs with 18 game variations. All the action you can handle and no waiting for a lane. BOWLING: It's the 10th frame. First bowler up. Here's the approach, the release. Might be thin, but the hook's working... BINGO! Right in the pocket. Concentrate and go for a strike! SPLITS: A great way to practice converting those tough spares. The computer has set up the dreaded Seven-Ten Split. You go for the Seven, trying to kick it cross-alley to nail the Ten. Nice pick up. But no time to relax now, the computer's setting up a baby split for the next frame.","n/a","n/a","n/a","Fairchild","1978 ","http://www.gamefaqs.com/channelf/567654-videocart-21-bowling"
"Videocart 22: Slot Machine","Miscellaneous,Parlor,Gambling","Now you are able to play &quot;Slots&quot; without ever leaving your own living room and without carrying around all those nickels. Bet you can't play just once! Just step right up there, select the purse, select cost (bet) and start the wheels a-spinnin'! You can either let the wheels stop randomly or stop each wheel as you choose. The bank will add or subtract to your account as you win or lose.","n/a","n/a","n/a","Fairchild","1980 ","http://www.gamefaqs.com/channelf/927679-videocart-22-slot-machine"
"Videocart 23: Galactic Space Wars / Lunar Landing","Action,Shooter,Static","GALACTIC SPACE WARS: You have been given full control of a fighter spacecraft. Your mission is to seek out, pursue, and fire upon enemy vessels. But space is a vast area to cover and there are many types of ships out there either trying to evade you or fire upon you as their opportunities arise. Do you have the skill and patience to maneuver your craft and successfully use your lasers to cripple the enemy space force as they also try to score hits against your craft? Use your instruments to search for these elusive ships. LUNAR LANDER: In your lunar lander you have a limited supply of fuel to enable you to land on the designated platform on the rocky surface of the planet. To come down too fast or to miss the platform would be disastrous for your lander. Your performance is being timed. Under all this pressure and with the delayed response inherent in the lunar lander, can you pilot the small craft to a safe landing?","n/a","n/a","n/a","Fairchild","1980 ","http://www.gamefaqs.com/channelf/927680-videocart-23-galactic-space-wars-lunar-landing"
"Videocart 24: Pro Football","Sports,Traditional,Football,Arcade","This is a 2-player game where the offense has 8 different plays to choose from, and the defense also has a choice of 8 plays. Your quarterback can run the ball or pass to one of his receivers that are out on their patterns. But watch out for that blitzing linebacker or that defensive back that could intercept the pass. Your teams will huddle, break and line up to get their play off in 30-seconds. You can score by a field goal as well as a touchdown. And if you can defensively push your opponent into their own goal, you are awarded a safety. So, after the fight song ends, let's get out there and play ball!","n/a","n/a","n/a","Fairchild","1981 ","http://www.gamefaqs.com/channelf/927681-videocart-24-pro-football"
"Videocart 25: Casino Poker","Miscellaneous,Parlor,Gambling","Videocart 25: Casino Poker is a Miscellaneous game, developed by Fairchild and published by Zircon,which was released in 1980.","n/a","n/a","n/a","Fairchild","1980 ","http://www.gamefaqs.com/channelf/567655-videocart-25-casino-poker"
"Videocart 26: Alien Invasion","Action,Shooter,Static","Videocart 26: Alien Invasion is an Action game, developed by Fairchild and published by Zircon,which was released in 1981.","9.0","n/a","n/a","Fairchild","1981 ","http://www.gamefaqs.com/channelf/567650-videocart-26-alien-invasion"
"Videocart 2: Desert Fox / Shooting Gallery","Action,Shooter,Scrolling","Let out your hunter instincts with these two exciting games. DESERT FOX: You sneak up on the enemy, but ram a mine instead. Your tank is immobilized. The enemy fires. Hits. And outfoxes you, the Fox. SHOOTING GALLERY: Electronic rifle versus dead ducks. Rifle repositions after every shot.","n/a","5.0","n/a","Fairchild","1976 ","http://www.gamefaqs.com/channelf/927662-videocart-2-desert-fox-shooting-gallery"
"Videocart 3: Video Blackjack","Miscellaneous,Parlor,Gambling","Deal yourself into Video Blackjack for some fast action in these 1 and 2 player games. 1-Player Blackjack: Dealer hits soft 17, stays on hard 17. You're bankrolled with $500... and feeling hot! So, double down. Next stop - Vegas! 2-Player Blackjack: Bring on the sharpies! You and another player take on the dealer. You may not break the bank, but you can still show 'em who the &quot;Man&quot; is.","n/a","n/a","n/a","Fairchild","1976 ","http://www.gamefaqs.com/channelf/567653-videocart-3-video-blackjack"
"Videocart 4: Spitfire","Action,Shooter,Static","Join up and get ready for the toughest dogfights since the Great Air War in 1 and 2 player versions of Spitfire! 1-Player Spitfire: The heartless Red Baron is scanning the skies for you, the Blue Max. Will you be able to elude him once again? Or, will you be sent spiraling to earth from a burst of his machine gun? 2-Player Spitfire: You, the daring Blue Max, versus another player, the curse of the Allies. You escape into a cloud bank only to emerge on his tail. Then... &quot;Blast you, Red Baron! Take that!&quot;... Kaboom!","n/a","n/a","n/a","Fairchild","1977 ","http://www.gamefaqs.com/channelf/927665-videocart-4-spitfire"
"Videocart 5: Space War","Action,Shooter,Static","Teleport yourself and a friend to an interstellar battleground with this faster-than-the-speed-of-light game. Subspace distress call: Alien laser attack has drained your protective electro-magnetic force field. Can you get back to the starbase to recharge... before he blasts you out of the galaxy?","n/a","n/a","n/a","Fairchild","1977 ","http://www.gamefaqs.com/channelf/927666-videocart-5-space-war"
"Videocart 6: Math Quiz","Miscellaneous,Trivia / Game Show","Get one problem right and a new one appears. Take turns with a buddy for added competition. Plus or minus some fast-paced fun! Math Quiz - Addition: Count on your television instead of your fingers. Right answer scores. You get two chances before the screen shows you how. Arithmetic was never like this! Math Quiz - Subtraction: Your number's up! Brush up on the basics, teach the kids to balance their allowance, or just have fun. It won't take away from the thrill of the game!","n/a","n/a","n/a","Fairchild","1977 ","http://www.gamefaqs.com/channelf/927667-videocart-6-math-quiz"
"Videocart 7: Math Quiz II","Miscellaneous,Trivia / Game Show","Get one problem right and a new one appears. Take turns with a buddy to double the competition... And quadruple the fun! Math Quiz - Multiplication: Teach the kids to multiply while you practice your time tables. Do it in your head or sneak a look at your calculator. Any way you figure it, the product is fun! Math Quiz - Division: Think you're equal to our problem? If you've got our number, you score. If not, you get another try before the screen works it out for you. Makes long division half the work and twice the fun!","n/a","n/a","n/a","Fairchild","1977 ","http://www.gamefaqs.com/channelf/927668-videocart-7-math-quiz-ii"
"Videocart 8: Magic Numbers","Miscellaneous,Trivia / Game Show","Take our magic numbers, your own secret strategy... And you just might trick the computer! Can you &quot;digit&quot;? MINDREADER: Think you've got our number? &quot;H&quot; or &quot;T&quot; tell you whether you've guessed the right digit in the right place or the wrong place. Race the clock or play for points. NIM: Trap the computer in a binary bind, and you win every time! You and the computer take turns removing one or more units from each square. Last move wins.","n/a","n/a","n/a","Fairchild","1977 ","http://www.gamefaqs.com/channelf/927669-videocart-8-magic-numbers"
"Videocart 9: Drag Strip","Driving,Racing,Drag","Know when to shift and you'll go the distance with these two racy games. But be careful... Redline your engine, and you wind up shiftless! (You've blown it!) 1-Player Drag Strip: VROOOM! Tach it up for a dynamite breakout. Then race the clock as you burn up the strip. (Beat our 7.70 ET and you're ready for Pomona!) 2-Player Drag Strip: He who laps last, laps best. Max your rpm's without redlining and you'll have the speed to lap your opponent at the top end. 99 wins puts you in the Winner's Circle!","n/a","n/a","n/a","Fairchild","1976 ","http://www.gamefaqs.com/channelf/926884-videocart-9-drag-strip"
